name,date,tech_self_score,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,talent_id
Stillmann Castano,2019-08-22,"{'C#': 6, 'Java': 5, 'R': 2, 'JavaScript': 2}",['Charisma'],"['Distracted', 'Impulsive', 'Introverted']",Yes,Yes,Yes,Pass,Business,10383
Hilary Willmore,2019-08-01,"{'Python': 1, 'C#': 4, 'Java': 2, 'C++': 4}","['Patient', 'Curious', 'Problem Solving']","['Overbearing', 'Chatty', 'Indifferent']",No,Yes,Yes,Fail,Data,10384
Efrem Whipple,2019-08-22,"{'Ruby': 4, 'C++': 4}","['Courteous', 'Independent', 'Patient']","['Introverted', 'Impulsive', 'Anxious']",Yes,Yes,Yes,Pass,Business,10385
Sydel Fenne,2019-08-28,"{'Java': 3, 'SPSS': 4}",['Passionate'],"['Perfectionist', 'Sensitive']",Yes,Yes,Yes,Pass,Data,10386
Michel Lebarree,2019-08-07,"{'Python': 3, 'Java': 4, 'Ruby': 1, 'R': 2, 'PHP': 2, 'C++': 3}",['Versatile'],"['Controlling', 'Perfectionist', 'Chatty']",Yes,Yes,Yes,Pass,Engineering,10387
Cooper Ingraham,2019-08-14,"{'C#': 3, 'Java': 1, 'PHP': 4}","['Versatile', 'Rational']",['Immature'],Yes,Yes,No,Fail,Business,10388
Bird Le Count,2019-08-22,"{'SPSS': 3, 'PHP': 3, 'C++': 2}",['Collaboration'],"['Impatient', 'Conventional', 'Undisciplined']",Yes,Yes,Yes,Fail,Business,10389
Orly Lorens,2019-08-01,"{'Ruby': 2, 'R': 5, 'SPSS': 1, 'JavaScript': 1}","['Ambitious', 'Independent', 'Passionate']","['Conventional', 'Passive']",No,Yes,Yes,Fail,Business,10390
Hannah Messum,2019-08-29,"{'Python': 8, 'Ruby': 2, 'JavaScript': 2}","['Reliable', 'Passionate']",['Intolerant'],Yes,Yes,Yes,Fail,Data,10391
Gavin Lambregts,2019-08-21,"{'Python': 3, 'C#': 2, 'C++': 5, 'JavaScript': 1}","['Altruism', 'Empathy', 'Problem Solving']","['Chaotic', 'Selfish']",Yes,Yes,Yes,Pass,Data,10392
Letta Halston,2019-08-08,"{'PHP': 3, 'JavaScript': 4}","['Listening', 'Passionate']","['Perfectionist', 'Immature', 'Passive']",Yes,Yes,Yes,Fail,Business,10393
Rivalee Eagleton,2019-08-08,"{'Python': 3, 'Ruby': 4, 'JavaScript': 2}","['Organisation', 'Passionate', 'Versatile']","['Conventional', 'Sensitive', 'Introverted']",Yes,Yes,No,Fail,Engineering,10394
Neda Marmyon,2019-08-15,"{'Python': 4, 'Ruby': 5, 'R': 7, 'C++': 1}","['Curious', 'Ambitious', 'Consistent']",['Sensitive'],Yes,Yes,Yes,Pass,Data,10395
Kermy Caves,2019-08-29,{'PHP': 2},"['Versatile', 'Ambitious']","['Slow', 'Overbearing', 'Conventional']",Yes,No,Yes,Fail,Business,10396
Edithe Dimitrov,2019-08-07,"{'Python': 4, 'C#': 3, 'Java': 3}","['Passionate', 'Versatile']",['Undisciplined'],Yes,Yes,Yes,Pass,Engineering,10397
Aubert Cicerone,2019-08-06,"{'Python': 4, 'C#': 3, 'Ruby': 3, 'JavaScript': 3}","['Efficient', 'Independent']","['Indifferent', 'Sensitive', 'Introverted']",Yes,Yes,No,Fail,Data,10398
Erastus Mcelrath,2019-08-14,"{'Python': 3, 'C#': 3, 'SPSS': 2, 'PHP': 1}","['Problem Solving', 'Altruism']",['Indifferent'],Yes,No,No,Fail,Data,10399
Edgar Annesley,2019-08-28,"{'Python': 2, 'C#': 7, 'Ruby': 4, 'JavaScript': 2}",['Independent'],"['Controlling', 'Impulsive']",No,Yes,Yes,Fail,Data,10400
Haslett Steet,2019-08-07,,"['Problem Solving', 'Efficient', 'Patient']",['Undisciplined'],Yes,Yes,Yes,Pass,Engineering,10401
Kirbee Clementet,2019-08-08,{'C++': 1},['Determined'],['Anxious'],Yes,Yes,No,Fail,Engineering,10402
Marcellina Ping,2019-08-21,"{'C#': 4, 'Java': 5}","['Composure', 'Independent']","['Impulsive', 'Competitive', 'Controlling']",Yes,Yes,Yes,Pass,Business,10403
Violet Luscombe,2019-08-14,"{'Python': 2, 'C#': 1, 'Ruby': 2, 'C++': 3}","['Competitive', 'Empathy']",['Impulsive'],Yes,Yes,Yes,Pass,Data,10404
Phillis Wabey,2019-08-06,"{'Python': 1, 'C#': 3, 'R': 2, 'SPSS': 2}",['Problem Solving'],"['Overbearing', 'Impatient']",Yes,Yes,Yes,Pass,Data,10405
Maurice Yakhin,2019-08-29,"{'Ruby': 6, 'R': 4, 'SPSS': 4, 'C++': 2, 'JavaScript': 3}","['Composure', 'Problem Solving', 'Efficient']","['Impatient', 'Critical']",Yes,Yes,Yes,Pass,Engineering,10406
Wesley Tolerton,2019-08-13,,"['Determined', 'Problem Solving', 'Patient']","['Indecisive', 'Undisciplined']",No,Yes,Yes,Fail,Business,10407
Brittaney Roughey,2019-08-15,"{'R': 4, 'SPSS': 2}","['Perfectionism', 'Charisma']","['Overbearing', 'Conventional', 'Immature']",Yes,Yes,Yes,Pass,Engineering,10408
Saree Daens,2019-08-15,"{'C#': 1, 'R': 2}",['Reliable'],['Passive'],Yes,Yes,Yes,Pass,Engineering,10409
Mona Willimott,2019-08-08,"{'C#': 1, 'Java': 3, 'Ruby': 2, 'R': 1, 'PHP': 2, 'JavaScript': 2}",['Passionate'],"['Passive', 'Chatty']",Yes,Yes,Yes,Pass,Engineering,10410
Alvie Bleackly,2019-08-01,,['Perfectionism'],"['Impatient', 'Selfish', 'Indifferent']",Yes,Yes,Yes,Pass,Engineering,10411
Drud Tellenbrok,2019-08-06,"{'Python': 1, 'C#': 3, 'Ruby': 3}","['Empathy', 'Charisma']","['Slow', 'Anxious', 'Chatty']",Yes,Yes,Yes,Pass,Data,10412
Deck Itzchaki,2019-08-01,{'PHP': 1},['Reliable'],['Indifferent'],Yes,Yes,Yes,Pass,Business,10413
Charlie Danelut,2019-08-14,"{'Python': 3, 'R': 2, 'SPSS': 1}","['Efficient', 'Empathy', 'Independent']","['Indecisive', 'Chaotic']",Yes,No,Yes,Fail,Data,10414
Wilt Penritt,2019-08-01,{'JavaScript': 5},"['Collaboration', 'Curious']","['Slow', 'Sensitive']",No,Yes,Yes,Fail,Data,10415
Stevie Houliston,2019-08-15,"{'C#': 2, 'Java': 4, 'R': 1, 'SPSS': 6}",['Reliable'],['Overbearing'],Yes,Yes,Yes,Pass,Engineering,10416
Fairlie Cogzell,2019-08-14,"{'Python': 3, 'Java': 5, 'R': 2, 'SPSS': 4, 'PHP': 1, 'JavaScript': 1}","['Independent', 'Ambitious']","['Perfectionist', 'Introverted', 'Indecisive']",Yes,Yes,Yes,Pass,Business,10417
Beckie Aveling,2019-08-22,"{'C#': 4, 'Java': 6, 'SPSS': 1, 'JavaScript': 3}",['Curious'],['Slow'],Yes,Yes,Yes,Fail,Business,10418
Axe Mckall,2019-08-15,"{'Python': 2, 'Java': 3, 'Ruby': 4, 'PHP': 2}","['Rational', 'Innovative', 'Collaboration']","['Impatient', 'Distracted']",Yes,Yes,Yes,Pass,Business,10419
Marcela Pass,2019-08-27,"{'Python': 3, 'C++': 1}","['Curious', 'Passionate']",['Selfish'],Yes,No,Yes,Fail,Business,10420
Sauncho Aveson,2019-08-13,"{'Java': 2, 'Ruby': 1, 'PHP': 1}","['Rational', 'Innovative', 'Passionate']","['Immature', 'Competitive', 'Indifferent']",Yes,Yes,Yes,Pass,Data,10421
Shamus Mccomish,2019-08-15,"{'Ruby': 6, 'R': 1, 'C++': 2, 'JavaScript': 2}",['Versatile'],"['Distracted', 'Slow']",No,Yes,Yes,Fail,Engineering,10422
Andy Lown,2019-08-22,,"['Ambitious', 'Independent']","['Perfectionist', 'Procrastination']",Yes,Yes,Yes,Pass,Business,10423
Arny Coorington,2019-08-14,{'Java': 1},['Efficient'],['Competitive'],Yes,Yes,Yes,Pass,Engineering,10424
Devondra Blabey,2019-08-15,"{'Python': 4, 'R': 3, 'PHP': 2, 'JavaScript': 2}","['Creative', 'Passionate', 'Reliable']",['Distracted'],No,Yes,Yes,Fail,Engineering,10425
Irita Lyptrit,2019-08-07,"{'Java': 1, 'Ruby': 2}",['Problem Solving'],['Perfectionist'],Yes,Yes,Yes,Pass,Engineering,10426
Jae Rennolds,2019-08-29,"{'C#': 2, 'R': 3, 'SPSS': 3, 'PHP': 2, 'C++': 5}","['Consistent', 'Collaboration']",['Stubborn'],Yes,Yes,Yes,Pass,Data,10427
Marion Consadine,2019-08-15,"{'Python': 5, 'SPSS': 3, 'JavaScript': 4}","['Independent', 'Passionate']",['Overbearing'],Yes,Yes,Yes,Pass,Business,10428
Leonore Pettiford,2019-08-13,"{'Python': 3, 'C++': 4}",['Passionate'],"['Indifferent', 'Anxious']",Yes,Yes,Yes,Pass,Data,10429
Edvard Northen,2019-08-07,{'SPSS': 7},['Competitive'],['Controlling'],Yes,Yes,Yes,Pass,Data,10430
Oralla Peasgood,2019-08-07,"{'C#': 6, 'Java': 5, 'Ruby': 5, 'SPSS': 6}","['Versatile', 'Consistent', 'Passionate']","['Intolerant', 'Distracted', 'Impulsive']",Yes,No,Yes,Fail,Business,10431
Ly Ferro,2019-08-13,"{'Ruby': 1, 'PHP': 4, 'JavaScript': 1}","['Curious', 'Perfectionism', 'Determined']","['Selfish', 'Conventional']",Yes,No,Yes,Fail,Business,10432
Lindsey Gerwood,2019-08-29,"{'Python': 1, 'Java': 1, 'Ruby': 4, 'R': 4, 'C++': 6}","['Courteous', 'Ambitious', 'Versatile']","['Sensitive', 'Introverted']",Yes,Yes,Yes,Fail,Data,10433
Gianna Clevely,2019-08-01,"{'Python': 3, 'Java': 4}","['Independent', 'Competitive', 'Determined']","['Immature', 'Chaotic']",Yes,Yes,Yes,Pass,Business,10434
Celine Doree,2019-08-15,"{'C#': 8, 'Java': 4}","['Reliable', 'Curious', 'Courteous']",['Impatient'],Yes,Yes,Yes,Pass,Data,10435
Karlene Hughill,2019-08-21,"{'C#': 2, 'Ruby': 1, 'C++': 2, 'JavaScript': 1}","['Courteous', 'Determined']","['Controlling', 'Intolerant', 'Conventional']",Yes,Yes,Yes,Pass,Data,10436
Sayre Webberley,2019-08-14,"{'Python': 5, 'C#': 3, 'Java': 1, 'PHP': 2, 'C++': 5}",['Independent'],"['Perfectionist', 'Distracted']",Yes,Yes,No,Fail,Engineering,10437
Phyllys Baelde,2019-08-15,"{'Python': 1, 'R': 3, 'PHP': 3}","['Charisma', 'Collaboration', 'Listening']",['Indecisive'],Yes,Yes,Yes,Pass,Data,10438
Samuele Whear,2019-08-20,"{'Python': 4, 'Java': 2, 'C++': 1}","['Rational', 'Passionate']","['Stubborn', 'Impulsive']",Yes,No,Yes,Fail,Business,10439
Darcey Mordin,2019-08-27,"{'Java': 1, 'SPSS': 1}","['Curious', 'Empathy', 'Creative']","['Anxious', 'Slow', 'Competitive']",Yes,Yes,Yes,Pass,Business,10440
Pamelina Itzkovsky,2019-08-13,"{'Java': 2, 'Ruby': 5}","['Curious', 'Perfectionism', 'Determined']","['Impatient', 'Passive', 'Intolerant']",Yes,Yes,Yes,Pass,Engineering,10441
Laurel Gillogley,2019-08-21,"{'Ruby': 4, 'C++': 3, 'JavaScript': 2}",['Ambitious'],"['Chatty', 'Distracted', 'Slow']",Yes,No,Yes,Fail,Engineering,10443
Quinta Cowdray,2019-08-28,"{'Python': 1, 'SPSS': 2, 'JavaScript': 3}",['Consistent'],"['Conventional', 'Intolerant']",Yes,Yes,Yes,Pass,Engineering,10444
Cecile Lates,2019-08-15,"{'SPSS': 5, 'C++': 4}",['Perfectionism'],"['Slow', 'Impulsive']",Yes,Yes,Yes,Fail,Engineering,10445
Seumas Lemonby,2019-08-14,"{'C#': 1, 'PHP': 2, 'C++': 1}","['Altruism', 'Empathy', 'Innovative']",['Distracted'],Yes,Yes,Yes,Pass,Engineering,10446
Gale Quartley,2019-08-13,"{'Java': 7, 'Ruby': 2, 'R': 2}","['Rational', 'Organisation', 'Consistent']",['Procrastination'],Yes,Yes,Yes,Pass,Data,10447
Dorrie Srutton,2019-08-22,{'C#': 1},['Charisma'],"['Introverted', 'Sensitive']",No,Yes,Yes,Fail,Engineering,10448
Benny Tichelaar,2019-08-21,"{'Java': 1, 'SPSS': 1, 'JavaScript': 4}",['Problem Solving'],"['Impulsive', 'Stubborn']",No,No,Yes,Fail,Data,10449
Avrit Gawith,2019-08-15,"{'C#': 2, 'SPSS': 4, 'JavaScript': 3}",['Versatile'],"['Introverted', 'Chaotic']",Yes,Yes,Yes,Pass,Business,10450
Berti Dennehy,2019-08-22,"{'SPSS': 2, 'PHP': 5, 'C++': 8}",['Consistent'],"['Stubborn', 'Anxious', 'Competitive']",Yes,Yes,Yes,Fail,Data,10451
Rockey Robarts,2019-08-14,"{'Python': 6, 'Java': 3}","['Composure', 'Charisma', 'Rational']","['Indifferent', 'Sensitive']",Yes,Yes,Yes,Pass,Engineering,10452
Eloisa Ewert,2019-08-21,"{'C#': 2, 'Ruby': 2, 'PHP': 1}",['Efficient'],"['Anxious', 'Chatty']",Yes,Yes,No,Fail,Business,10453
Mireille Risom,2019-08-21,"{'SPSS': 3, 'PHP': 2}","['Passionate', 'Reliable', 'Altruism']","['Chatty', 'Critical', 'Passive']",Yes,Yes,Yes,Pass,Data,10454
Sharl Daggett,2019-08-22,"{'Ruby': 1, 'R': 1, 'SPSS': 1, 'JavaScript': 3}","['Efficient', 'Perfectionism']",['Controlling'],Yes,Yes,Yes,Pass,Engineering,10455
Nikolos Yashin,2019-08-15,"{'Java': 2, 'R': 5, 'C++': 2, 'JavaScript': 3}","['Empathy', 'Curious']","['Chaotic', 'Stubborn']",Yes,Yes,Yes,Fail,Business,10456
Shela Mccall,2019-08-14,"{'SPSS': 3, 'PHP': 1, 'C++': 1}","['Courteous', 'Curious', 'Organisation']","['Stubborn', 'Procrastination']",Yes,Yes,Yes,Fail,Engineering,10457
Sonnie Malenfant,2019-08-14,"{'Python': 4, 'Ruby': 2, 'SPSS': 3, 'C++': 6}","['Organisation', 'Courteous']",['Perfectionist'],Yes,Yes,Yes,Pass,Business,10458
Mahmud Molineux,2019-08-20,"{'Python': 7, 'Ruby': 7, 'C++': 2, 'JavaScript': 1}","['Rational', 'Charisma']","['Chatty', 'Distracted', 'Sensitive']",Yes,Yes,Yes,Pass,Business,10459
Dylan Llewellen,2019-08-29,"{'Python': 2, 'C#': 1, 'R': 5, 'SPSS': 1}","['Perfectionism', 'Ambitious']","['Undisciplined', 'Intolerant', 'Perfectionist']",Yes,Yes,No,Fail,Data,10460
Yvor Phalip,2019-08-01,"{'C#': 2, 'Java': 3, 'Ruby': 7, 'R': 1}","['Charisma', 'Creative', 'Curious']","['Intolerant', 'Procrastination', 'Immature']",Yes,Yes,No,Fail,Data,10461
Berry Freed,2019-08-29,{'PHP': 3},"['Competitive', 'Versatile']",['Immature'],Yes,Yes,Yes,Pass,Business,10462
Marielle Knivett,2019-08-01,"{'C#': 5, 'Ruby': 4, 'R': 5, 'SPSS': 7, 'PHP': 1}",['Critical Thinking'],"['Overbearing', 'Indecisive']",Yes,No,Yes,Fail,Business,10463
Emmanuel Deniske,2019-08-15,"{'Python': 1, 'Java': 3, 'C++': 1}","['Passionate', 'Altruism', 'Courteous']","['Overbearing', 'Procrastination']",Yes,Yes,Yes,Pass,Data,10464
Kerr Coucha,2019-08-07,"{'Python': 7, 'C#': 1, 'R': 2, 'SPSS': 3, 'C++': 6}",['Curious'],"['Controlling', 'Sensitive', 'Distracted']",Yes,Yes,Yes,Pass,Data,10465
Dulci Mcgrayle,2019-08-21,"{'Java': 2, 'R': 3, 'PHP': 1, 'JavaScript': 6}","['Versatile', 'Creative']","['Chatty', 'Sensitive']",Yes,Yes,Yes,Pass,Data,10466
Shandee Blaschke,2019-08-21,"{'Python': 3, 'C#': 3, 'Ruby': 4, 'C++': 1}",['Critical Thinking'],['Stubborn'],No,Yes,Yes,Fail,Engineering,10467
Paul Chislett,2019-08-14,{'Java': 4},"['Composure', 'Organisation']","['Procrastination', 'Impatient', 'Conventional']",Yes,Yes,No,Fail,Engineering,10468
Florri Loughton,2019-08-01,{'C#': 1},['Ambitious'],"['Indifferent', 'Critical', 'Conventional']",No,Yes,Yes,Fail,Engineering,10469
Hildy Landre,2019-08-08,"{'C#': 3, 'R': 1, 'JavaScript': 3}","['Perfectionism', 'Courteous']",['Indifferent'],No,Yes,Yes,Fail,Data,10470
Berny Botler,2019-08-06,"{'Python': 4, 'Java': 6, 'Ruby': 2, 'SPSS': 3, 'PHP': 4}","['Altruism', 'Collaboration']",['Impulsive'],Yes,Yes,Yes,Pass,Data,10471
Merell Tremmil,2019-08-13,"{'SPSS': 4, 'C++': 6}","['Perfectionism', 'Collaboration', 'Patient']",['Indifferent'],Yes,Yes,Yes,Fail,Engineering,10472
Ileana Chewter,2019-08-21,"{'Python': 4, 'Java': 2, 'Ruby': 5, 'C++': 6, 'JavaScript': 2}","['Passionate', 'Versatile']",['Competitive'],Yes,Yes,Yes,Pass,Business,10473
Ilario Yeates,2019-08-13,"{'Python': 4, 'C#': 1, 'R': 3}",['Listening'],['Procrastination'],No,Yes,Yes,Fail,Engineering,10474
Winnie Lewerenz,2019-08-06,"{'C#': 4, 'R': 2, 'JavaScript': 2}",['Patient'],['Indecisive'],Yes,No,Yes,Fail,Business,10475
Garwood Strowan,2019-08-20,"{'Java': 3, 'C++': 3, 'JavaScript': 2}","['Consistent', 'Creative']","['Chatty', 'Impulsive']",No,Yes,Yes,Fail,Data,10476
Herb Mcilmorie,2019-08-08,"{'Java': 3, 'Ruby': 2, 'R': 2, 'SPSS': 4, 'PHP': 7, 'C++': 1}",['Determined'],"['Sensitive', 'Passive']",Yes,Yes,Yes,Pass,Data,10477
Ingunna Adin,2019-08-01,"{'Java': 6, 'R': 4, 'C++': 3, 'JavaScript': 3}","['Charisma', 'Altruism', 'Perfectionism']","['Competitive', 'Indifferent', 'Chaotic']",Yes,Yes,Yes,Pass,Data,10478
Frazier Bayston,2019-08-29,"{'C#': 2, 'Ruby': 4, 'SPSS': 3, 'C++': 1, 'JavaScript': 5}",['Altruism'],['Impulsive'],Yes,No,Yes,Fail,Data,10479
Hewett Lamputt,2019-08-13,"{'C#': 1, 'Ruby': 2, 'R': 6, 'PHP': 1, 'C++': 5, 'JavaScript': 3}","['Rational', 'Determined', 'Organisation']","['Slow', 'Controlling', 'Anxious']",Yes,Yes,Yes,Pass,Engineering,10480
Rodger Bendelow,2019-08-22,"{'Python': 6, 'SPSS': 3}","['Courteous', 'Rational']","['Selfish', 'Impatient']",Yes,Yes,Yes,Pass,Data,10481
Archer Hobben,2019-08-14,"{'Python': 2, 'Ruby': 4}","['Independent', 'Problem Solving']","['Critical', 'Indecisive']",Yes,Yes,Yes,Fail,Business,10482
Stephani Prettyman,2019-08-22,"{'Python': 1, 'Java': 1, 'SPSS': 2, 'C++': 4, 'JavaScript': 1}","['Listening', 'Independent', 'Organisation']",['Selfish'],Yes,Yes,Yes,Pass,Engineering,10483
Pepi Bome,2019-08-20,"{'C#': 1, 'Ruby': 5, 'SPSS': 2, 'PHP': 1, 'JavaScript': 2}","['Competitive', 'Charisma']","['Slow', 'Indifferent', 'Selfish']",Yes,Yes,Yes,Pass,Engineering,10484
Loella Lonnon,2019-08-06,{'C++': 6},['Empathy'],"['Introverted', 'Conventional', 'Undisciplined']",Yes,Yes,No,Fail,Data,10485
Darrin Stoffel,2019-08-08,"{'SPSS': 3, 'PHP': 2}",['Altruism'],"['Conventional', 'Introverted']",Yes,Yes,Yes,Pass,Business,10486
Mitchel Bates,2019-08-14,"{'Python': 2, 'C#': 2, 'Java': 3, 'SPSS': 2, 'JavaScript': 3}",['Problem Solving'],['Stubborn'],Yes,Yes,No,Fail,Engineering,10487
Miles Water,2019-08-08,"{'C#': 2, 'Java': 2, 'PHP': 2, 'JavaScript': 4}","['Charisma', 'Passionate', 'Creative']","['Slow', 'Intolerant', 'Sensitive']",Yes,Yes,Yes,Pass,Business,10488
Fanni Polhill,2019-08-28,"{'Python': 2, 'C#': 3, 'SPSS': 6}","['Perfectionism', 'Efficient', 'Listening']","['Indecisive', 'Indifferent', 'Undisciplined']",Yes,Yes,Yes,Fail,Engineering,10489
Genvieve Arnke,2019-08-22,"{'Ruby': 3, 'PHP': 2}","['Reliable', 'Patient', 'Rational']","['Selfish', 'Chatty']",No,Yes,Yes,Fail,Business,10490
Alicia Hruska,2019-08-28,"{'C#': 3, 'Java': 4, 'R': 4}","['Altruism', 'Competitive', 'Charisma']",['Indifferent'],Yes,Yes,Yes,Pass,Business,10491
Mella Aubin,2019-08-15,"{'Ruby': 6, 'R': 3, 'SPSS': 4}",['Listening'],['Introverted'],Yes,Yes,Yes,Pass,Data,10492
George Huckstepp,2019-08-06,"{'C#': 1, 'Java': 2, 'R': 2}","['Perfectionism', 'Listening', 'Ambitious']","['Anxious', 'Indifferent']",No,Yes,Yes,Fail,Engineering,10493
Joelie Elfitt,2019-08-29,"{'Python': 1, 'C#': 4}",['Problem Solving'],['Chatty'],Yes,Yes,No,Fail,Business,10494
Omar Rodrigo,2019-08-27,"{'Ruby': 3, 'JavaScript': 1}","['Composure', 'Versatile']","['Impatient', 'Slow', 'Critical']",Yes,No,Yes,Fail,Engineering,10495
