name,trainer,trait,week,score,date,course,cohort
Quintus Penella,Gregor Gomez,Analytic,1,1.0,2019-02-11,Business,20
Quintus Penella,Gregor Gomez,Independent,1,2.0,2019-02-11,Business,20
Quintus Penella,Gregor Gomez,Determined,1,2.0,2019-02-11,Business,20
Quintus Penella,Gregor Gomez,Professional,1,1.0,2019-02-11,Business,20
Quintus Penella,Gregor Gomez,Studious,1,2.0,2019-02-11,Business,20
Quintus Penella,Gregor Gomez,Imaginative,1,2.0,2019-02-11,Business,20
Simon Murrey,Gregor Gomez,Analytic,1,6.0,2019-02-11,Business,20
Simon Murrey,Gregor Gomez,Independent,1,1.0,2019-02-11,Business,20
Simon Murrey,Gregor Gomez,Determined,1,1.0,2019-02-11,Business,20
Simon Murrey,Gregor Gomez,Professional,1,2.0,2019-02-11,Business,20
Simon Murrey,Gregor Gomez,Studious,1,4.0,2019-02-11,Business,20
Simon Murrey,Gregor Gomez,Imaginative,1,2.0,2019-02-11,Business,20
Simon Murrey,Gregor Gomez,Analytic,2,3.0,2019-02-11,Business,20
Simon Murrey,Gregor Gomez,Independent,2,1.0,2019-02-11,Business,20
Simon Murrey,Gregor Gomez,Determined,2,3.0,2019-02-11,Business,20
Simon Murrey,Gregor Gomez,Professional,2,2.0,2019-02-11,Business,20
Simon Murrey,Gregor Gomez,Studious,2,1.0,2019-02-11,Business,20
Simon Murrey,Gregor Gomez,Imaginative,2,1.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Analytic,1,6.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Independent,1,4.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Determined,1,1.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Professional,1,1.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Studious,1,2.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Imaginative,1,3.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Analytic,2,1.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Independent,2,1.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Determined,2,1.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Professional,2,2.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Studious,2,1.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Imaginative,2,6.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Analytic,3,6.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Independent,3,2.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Determined,3,2.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Professional,3,3.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Studious,3,3.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Imaginative,3,2.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Analytic,4,5.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Independent,4,1.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Determined,4,3.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Professional,4,7.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Studious,4,6.0,2019-02-11,Business,20
Gustaf Lude,Gregor Gomez,Imaginative,4,2.0,2019-02-11,Business,20
