source_file,raw_text
Sparta Day 1 August 2019.txt,"Thursday 1 August 2019
Birmingham Academy

HILARY WILLMORE -  Psychometrics: 51/100, Presentation: 19/32
ORLY LORENS -  Psychometrics: 51/100, Presentation: 19/32
ALVIE BLEACKLY -  Psychometrics: 55/100, Presentation: 16/32
DECK ITZCHAKI -  Psychometrics: 59/100, Presentation: 21/32
WILT PENRITT -  Psychometrics: 66/100, Presentation: 25/32
GIANNA CLEVELY -  Psychometrics: 61/100, Presentation: 16/32
YVOR PHALIP -  Psychometrics: 59/100, Presentation: 18/32
MARIELLE KNIVETT -  Psychometrics: 52/100, Presentation: 18/32
FLORRI LOUGHTON -  Psychometrics: 63/100, Presentation: 28/32
WALDEN GIDDEN -  Psychometrics: 49/100, Presentation: 25/32
INGUNNA ADIN -  Psychometrics: 60/100, Presentation: 20/32
JANAYA MAWFORD -  Psychometrics: 52/100, Presentation: 18/32
CORNALL OFFER -  Psychometrics: 56/100, Presentation: 26/32
BRNABY BOWNES -  Psychometrics: 59/100, Presentation: 26/32
SHERLINE CUDIHY -  Psychometrics: 52/100, Presentation: 16/32
ANALLISE SCATHARD -  Psychometrics: 62/100, Presentation: 13/32
BENSON LABUSCHAGNE -  Psychometrics: 64/100, Presentation: 13/32
NORENE FIERRO -  Psychometrics: 58/100, Presentation: 22/32
WOODY NEWLING -  Psychometrics: 49/100, Presentation: 21/32
ANNA BOWNES -  Psychometrics: 45/100, Presentation: 20/32
LORINE BIGNALL -  Psychometrics: 59/100, Presentation: 17/32
DEIRDRE VAN DEN VELDE -  Psychometrics: 55/100, Presentation: 19/32
RUTHE ADOLTHINE -  Psychometrics: 63/100, Presentation: 17/32
STAR JURGES -  Psychometrics: 54/100, Presentation: 22/32
STAN FORKAN -  Psychometrics: 56/100, Presentation: 20/32
JODIE KAYGILL -  Psychometrics: 53/100, Presentation: 17/32
TIM HUSH -  Psychometrics: 40/100, Presentation: 22/32
DELINDA CONYBEAR -  Psychometrics: 54/100, Presentation: 18/32
REAGEN PUDGE -  Psychometrics: 60/100, Presentation: 14/32
MATTEO YEOWELL -  Psychometrics: 57/100, Presentation: 18/32
MAYE TARGETTER -  Psychometrics: 45/100, Presentation: 19/32
CARLOS GERCKENS -  Psychometrics: 56/100, Presentation: 19/32
NEVIL VIDYAPIN -  Psychometrics: 44/100, Presentation: 22/32
BLAKE NUNSON -  Psychometrics: 64/100, Presentation: 18/32
ROSS BEEVORS -  Psychometrics: 48/100, Presentation: 25/32
SID LIBBIE -  Psychometrics: 59/100, Presentation: 28/32
"
Sparta Day 1 May 2019.txt,"Wednesday 1 May 2019
London Academy

LOREE HINKENS -  Psychometrics: 54/100, Presentation: 16/32
MICHEIL ROTLAUF -  Psychometrics: 66/100, Presentation: 15/32
BERKELEY BOTHE -  Psychometrics: 43/100, Presentation: 25/32
KLARIKA MCCONIGAL -  Psychometrics: 48/100, Presentation: 22/32
RETHA DUNNICO -  Psychometrics: 60/100, Presentation: 20/32
NANCE TOTHE -  Psychometrics: 51/100, Presentation: 15/32
DONICA ANDREAS -  Psychometrics: 59/100, Presentation: 18/32
STAVROS PETTICROW -  Psychometrics: 52/100, Presentation: 12/32
JANET MULQUEENY -  Psychometrics: 42/100, Presentation: 19/32
CASSIUS HOLLIBONE -  Psychometrics: 69/100, Presentation: 18/32
MELLICENT DESAUR -  Psychometrics: 67/100, Presentation: 18/32
KAMILA SILVERSMIDT -  Psychometrics: 53/100, Presentation: 16/32
BERNADINE SINKIN -  Psychometrics: 60/100, Presentation: 17/32
WILLIAM DRYDEN -  Psychometrics: 63/100, Presentation: 23/32
MATTHIAS BURNS -  Psychometrics: 53/100, Presentation: 22/32
MAXWELL WYER -  Psychometrics: 50/100, Presentation: 21/32
MIGUELA QUANTRILL -  Psychometrics: 60/100, Presentation: 21/32
JULIET SCOTTRELL -  Psychometrics: 55/100, Presentation: 16/32
GANNIE BAREHEAD -  Psychometrics: 46/100, Presentation: 19/32
SIOUXIE TUNSTALL -  Psychometrics: 57/100, Presentation: 23/32
KEENAN STUBBES -  Psychometrics: 50/100, Presentation: 21/32
VERNEY SKEHAN -  Psychometrics: 58/100, Presentation: 15/32
BERNICE NIBLETT -  Psychometrics: 52/100, Presentation: 16/32
SUSIE CICCOLOI -  Psychometrics: 65/100, Presentation: 21/32
CORNEY KOLINSKY -  Psychometrics: 50/100, Presentation: 23/32
BENSON SYNCKE -  Psychometrics: 57/100, Presentation: 18/32
HALSEY BROADER -  Psychometrics: 67/100, Presentation: 26/32
"
Sparta Day 1 October 2019.txt,"Tuesday 1 October 2019
London Academy

KONSTANTINE GIACOMONI -  Psychometrics: 48/100, Presentation: 24/32
CARMELLE JADO -  Psychometrics: 54/100, Presentation: 22/32
EWARD STANYARD -  Psychometrics: 48/100, Presentation: 20/32
EDGARDO LIDYARD -  Psychometrics: 49/100, Presentation: 24/32
CLAUDIA MAY -  Psychometrics: 53/100, Presentation: 18/32
GINEVRA KOPS -  Psychometrics: 52/100, Presentation: 21/32
LAMBERT FORTNON -  Psychometrics: 57/100, Presentation: 22/32
FAR LUBECK -  Psychometrics: 52/100, Presentation: 18/32
JOANN ASPINWALL -  Psychometrics: 59/100, Presentation: 15/32
SALLYANN JACOBI -  Psychometrics: 60/100, Presentation: 15/32
AGUSTIN BOOG -  Psychometrics: 55/100, Presentation: 21/32
FIANN PARMETER -  Psychometrics: 52/100, Presentation: 23/32
LINETTE GILHOOLIE -  Psychometrics: 55/100, Presentation: 19/32
PEARLA DURTNELL -  Psychometrics: 55/100, Presentation: 21/32
CANDIE SENNER -  Psychometrics: 59/100, Presentation: 24/32
MYCHAL BACHELAR -  Psychometrics: 47/100, Presentation: 24/32
"
Sparta Day 10 April 2019.txt,"Wednesday 10 April 2019
London Academy

ESME TRUSSLOVE -  Psychometrics: 39/100, Presentation: 23/32
TILER ANDREJEVIC -  Psychometrics: 55/100, Presentation: 21/32
ESTER FOLDES -  Psychometrics: 48/100, Presentation: 23/32
MILE O'BRIEN -  Psychometrics: 50/100, Presentation: 24/32
SHEEREE COLLOP -  Psychometrics: 66/100, Presentation: 19/32
LIBBIE PLUCK -  Psychometrics: 51/100, Presentation: 19/32
GUSTY BEEVENS -  Psychometrics: 42/100, Presentation: 22/32
LON GILLIMGHAM -  Psychometrics: 56/100, Presentation: 18/32
HOGAN BUSHNELL -  Psychometrics: 65/100, Presentation: 22/32
TIFFANY GRONALLER -  Psychometrics: 54/100, Presentation: 24/32
CHILTON NIECE -  Psychometrics: 62/100, Presentation: 22/32
EDA BANNER -  Psychometrics: 72/100, Presentation: 20/32
DONALT SAVARY -  Psychometrics: 48/100, Presentation: 18/32
ORALLE KOSE -  Psychometrics: 50/100, Presentation: 22/32
VERNOR FARRANCE -  Psychometrics: 55/100, Presentation: 22/32
SALVIDOR CULLY -  Psychometrics: 53/100, Presentation: 18/32
NINETTE BORREL -  Psychometrics: 49/100, Presentation: 11/32
TODD KOHNERT -  Psychometrics: 58/100, Presentation: 24/32
GUNTER MARZELLANO -  Psychometrics: 63/100, Presentation: 23/32
ENRIQUE GARSIDE -  Psychometrics: 57/100, Presentation: 19/32
HILDA WINKETT -  Psychometrics: 69/100, Presentation: 25/32
GILES DE ANGELIS -  Psychometrics: 52/100, Presentation: 23/32
KALA FRANZINI -  Psychometrics: 48/100, Presentation: 26/32
DAVEY MCDOWELL -  Psychometrics: 52/100, Presentation: 24/32
MICKEY LAMPORT -  Psychometrics: 56/100, Presentation: 18/32
MYRNA BONAFANT -  Psychometrics: 51/100, Presentation: 23/32
MONTY HILLAM -  Psychometrics: 47/100, Presentation: 11/32
LUKE ABLE -  Psychometrics: 51/100, Presentation: 22/32
PHILLIS LYFIELD -  Psychometrics: 55/100, Presentation: 23/32
"
Sparta Day 10 December 2019.txt,"Tuesday 10 December 2019
London Academy

CANDY BERENDS -  Psychometrics: 66/100, Presentation: 15/32
ADOLPHO LITTERICK -  Psychometrics: 63/100, Presentation: 17/32
ROCKEY COURTES -  Psychometrics: 53/100, Presentation: 21/32
SALMON GLENFIELD -  Psychometrics: 52/100, Presentation: 21/32
JENA LIVINGS -  Psychometrics: 62/100, Presentation: 21/32
KAITLYN CHAGG -  Psychometrics: 53/100, Presentation: 18/32
STEFFANE LAITY -  Psychometrics: 62/100, Presentation: 25/32
HARRIE CHATIN -  Psychometrics: 69/100, Presentation: 22/32
BAMBI EARTHFIELD -  Psychometrics: 60/100, Presentation: 20/32
ULBERTO STROTON -  Psychometrics: 59/100, Presentation: 22/32
REINOLD JENICEK -  Psychometrics: 51/100, Presentation: 20/32
GUIDO ALLANS -  Psychometrics: 57/100, Presentation: 16/32
ORELLA GOSHAWKE -  Psychometrics: 55/100, Presentation: 17/32
FELITA JZHAKOV -  Psychometrics: 59/100, Presentation: 22/32
FILIDE ROONY -  Psychometrics: 60/100, Presentation: 22/32
CHARLEY FREDI -  Psychometrics: 55/100, Presentation: 20/32
MELLY IBLE -  Psychometrics: 52/100, Presentation: 21/32
WALLIE CHITTENDEN -  Psychometrics: 57/100, Presentation: 22/32
SCOTTI BROMFIELD -  Psychometrics: 50/100, Presentation: 21/32
ELISA GOWMAN -  Psychometrics: 50/100, Presentation: 19/32
"
Sparta Day 10 January 2019.txt,"Thursday 10 January 2019
Birmingham Academy

SUE BARFITT -  Psychometrics: 50/100, Presentation: 19/32
ZEA BARETTE -  Psychometrics: 52/100, Presentation: 18/32
MEGGIE SIDSAFF -  Psychometrics: 52/100, Presentation: 18/32
GUI GRAINE -  Psychometrics: 57/100, Presentation: 17/32
CAROLANN BUMBY -  Psychometrics: 50/100, Presentation: 16/32
DANYA SEDGEFIELD -  Psychometrics: 57/100, Presentation: 26/32
ROLLAND FIGGINS -  Psychometrics: 41/100, Presentation: 22/32
FRANK TOLCHARD -  Psychometrics: 50/100, Presentation: 18/32
SHELLI ABBESS -  Psychometrics: 51/100, Presentation: 22/32
AMBROS ETHINGTON -  Psychometrics: 56/100, Presentation: 23/32
NIKOLA DEVERICKS -  Psychometrics: 49/100, Presentation: 17/32
CHESTON CEILLIER -  Psychometrics: 65/100, Presentation: 25/32
BABITA HEIGHO -  Psychometrics: 50/100, Presentation: 28/32
VINCE SCOTT -  Psychometrics: 65/100, Presentation: 26/32
STEPHAN JAXON -  Psychometrics: 63/100, Presentation: 22/32
THATCHER NORTHEY -  Psychometrics: 49/100, Presentation: 16/32
LILLI LE BROM -  Psychometrics: 47/100, Presentation: 23/32
"
Sparta Day 10 July 2019.txt,"Wednesday 10 July 2019
London Academy

DARWIN SAMBIEDGE -  Psychometrics: 55/100, Presentation: 22/32
GRAYCE AIM -  Psychometrics: 49/100, Presentation: 16/32
BETTY LAMLIN -  Psychometrics: 72/100, Presentation: 24/32
QUILL TOMPKINSON -  Psychometrics: 66/100, Presentation: 17/32
SHAUN DOWLEY -  Psychometrics: 58/100, Presentation: 22/32
OSWALD LYNDON -  Psychometrics: 57/100, Presentation: 16/32
STANWOOD HEIMANN -  Psychometrics: 49/100, Presentation: 23/32
RUTHIE KINVIG -  Psychometrics: 44/100, Presentation: 20/32
ALISON TETT -  Psychometrics: 53/100, Presentation: 18/32
CARE OATTES -  Psychometrics: 49/100, Presentation: 22/32
URIEL EIDELMAN -  Psychometrics: 50/100, Presentation: 21/32
DRAKE NORTHCOTE -  Psychometrics: 53/100, Presentation: 27/32
KAREL TOULAMAIN -  Psychometrics: 51/100, Presentation: 16/32
ZELDA PRESTAGE -  Psychometrics: 55/100, Presentation: 18/32
JUDON HENZE -  Psychometrics: 58/100, Presentation: 22/32
MIGUELITA SMEDLEY -  Psychometrics: 62/100, Presentation: 17/32
WEYLIN COMOLLI -  Psychometrics: 50/100, Presentation: 25/32
DALORIS COTESFORD -  Psychometrics: 60/100, Presentation: 22/32
SALIM SARRA -  Psychometrics: 53/100, Presentation: 19/32
JOB RESTALL -  Psychometrics: 60/100, Presentation: 21/32
THORIN ESKRIET -  Psychometrics: 57/100, Presentation: 17/32
VIVIENNE BLAKELOCK -  Psychometrics: 60/100, Presentation: 22/32
RANDIE KLIMASHEVICH -  Psychometrics: 56/100, Presentation: 21/32
MAJE VALLIS -  Psychometrics: 62/100, Presentation: 22/32
FREDDIE SAMBER -  Psychometrics: 71/100, Presentation: 26/32
GRANT KILBAN -  Psychometrics: 59/100, Presentation: 22/32
"
Sparta Day 10 October 2019.txt,"Thursday 10 October 2019
Birmingham Academy

RAMSEY DIVALL -  Psychometrics: 51/100, Presentation: 19/32
CLINT DRAPER -  Psychometrics: 37/100, Presentation: 16/32
DRUCIE BIANCO -  Psychometrics: 53/100, Presentation: 23/32
POWELL WANK -  Psychometrics: 68/100, Presentation: 17/32
TONYE HEARL -  Psychometrics: 63/100, Presentation: 21/32
GARDENER BOUNDEY -  Psychometrics: 49/100, Presentation: 14/32
CLIFF KNOWLTON -  Psychometrics: 57/100, Presentation: 19/32
LEW BARTLOMIECZAK -  Psychometrics: 63/100, Presentation: 23/32
BARTHOLOMEO KEATLEY -  Psychometrics: 54/100, Presentation: 19/32
ADEL KINRADE -  Psychometrics: 56/100, Presentation: 16/32
PARRNELL WROE -  Psychometrics: 59/100, Presentation: 15/32
ALEXIS ADESS -  Psychometrics: 57/100, Presentation: 19/32
PAULY REBBECK -  Psychometrics: 63/100, Presentation: 18/32
MALVIN PENRITH -  Psychometrics: 61/100, Presentation: 23/32
NARIKO ROBELIN -  Psychometrics: 44/100, Presentation: 19/32
WALLIE PECHA -  Psychometrics: 51/100, Presentation: 22/32
MEREDITH CRAUFURD -  Psychometrics: 50/100, Presentation: 14/32
BOBINE ADVANI -  Psychometrics: 55/100, Presentation: 17/32
TOINETTE HALLUT -  Psychometrics: 58/100, Presentation: 20/32
ALEKSANDR LEAN -  Psychometrics: 47/100, Presentation: 22/32
BARNIE JERSH -  Psychometrics: 59/100, Presentation: 22/32
PETERUS WRAITH -  Psychometrics: 49/100, Presentation: 11/32
BAN CRAZE -  Psychometrics: 38/100, Presentation: 24/32
CHRISY KESEY -  Psychometrics: 58/100, Presentation: 15/32
BINNIE CAPNERHURST -  Psychometrics: 53/100, Presentation: 14/32
AMMAMARIA TASSELL -  Psychometrics: 57/100, Presentation: 20/32
KAROLINA COMINI -  Psychometrics: 66/100, Presentation: 13/32
LORALIE EXROLL -  Psychometrics: 53/100, Presentation: 20/32
BEBE GUYONNEAU -  Psychometrics: 42/100, Presentation: 18/32
HOBARD GAYNES -  Psychometrics: 67/100, Presentation: 23/32
CLEVIE BOWSHER -  Psychometrics: 54/100, Presentation: 22/32
"
Sparta Day 10 September 2019.txt,"Tuesday 10 September 2019
London Academy

LORALYN DIBBS -  Psychometrics: 46/100, Presentation: 18/32
MARSHA COULTER -  Psychometrics: 60/100, Presentation: 22/32
NORENE DERICUT -  Psychometrics: 60/100, Presentation: 23/32
DALE FEWLASS -  Psychometrics: 52/100, Presentation: 22/32
WILFRED GODWYN -  Psychometrics: 57/100, Presentation: 17/32
IRVINE HARMSON -  Psychometrics: 55/100, Presentation: 23/32
LEYLA THREADGOLD -  Psychometrics: 54/100, Presentation: 18/32
ETHELRED CARTMAN -  Psychometrics: 52/100, Presentation: 24/32
BALDWIN MACBEY -  Psychometrics: 56/100, Presentation: 24/32
TORRENCE LANEGRAN -  Psychometrics: 62/100, Presentation: 20/32
ANGIE LANGER -  Psychometrics: 41/100, Presentation: 21/32
PATRIC GOULT -  Psychometrics: 68/100, Presentation: 22/32
JENNINE ERNI -  Psychometrics: 56/100, Presentation: 26/32
RODERIC DAGGER -  Psychometrics: 45/100, Presentation: 22/32
GLYNNIS WICKEN -  Psychometrics: 50/100, Presentation: 26/32
STEPHINE KIRTON -  Psychometrics: 63/100, Presentation: 19/32
CARROLL TREASADEN -  Psychometrics: 54/100, Presentation: 21/32
RIVA MANGEOT -  Psychometrics: 53/100, Presentation: 23/32
LILIAS MC GORLEY -  Psychometrics: 50/100, Presentation: 17/32
GARRARD KEWARD -  Psychometrics: 64/100, Presentation: 28/32
COLLIN COMMINS -  Psychometrics: 52/100, Presentation: 22/32
BERTHA BURCHFIELD -  Psychometrics: 55/100, Presentation: 18/32
STILLMANN QUALTROUGH -  Psychometrics: 63/100, Presentation: 9/32
IGNATIUS DOXSEY -  Psychometrics: 60/100, Presentation: 23/32
JO-ANN GALLIHAULK -  Psychometrics: 62/100, Presentation: 20/32
MARK BECKINGHAM -  Psychometrics: 63/100, Presentation: 28/32
RYLEY DAEL -  Psychometrics: 62/100, Presentation: 25/32
"
Sparta Day 11 April 2019.txt,"Thursday 11 April 2019
Birmingham Academy

MERIDEL RANDELL -  Psychometrics: 62/100, Presentation: 23/32
ISACCO BOICHAT -  Psychometrics: 57/100, Presentation: 19/32
VALENKA JIRSA -  Psychometrics: 63/100, Presentation: 18/32
SULLIVAN PESKIN -  Psychometrics: 45/100, Presentation: 24/32
THEOBALD RAWLES -  Psychometrics: 66/100, Presentation: 16/32
HUBIE SURGOOD -  Psychometrics: 52/100, Presentation: 21/32
PACO ST ANGE -  Psychometrics: 59/100, Presentation: 22/32
FORBES SCIMONI -  Psychometrics: 54/100, Presentation: 16/32
AGGY ALESSANDRUCCI -  Psychometrics: 55/100, Presentation: 21/32
NICOLA GLOYENS -  Psychometrics: 46/100, Presentation: 23/32
VIV NEWBY -  Psychometrics: 51/100, Presentation: 15/32
ROSANNA BERKELY -  Psychometrics: 44/100, Presentation: 19/32
ARLEN MEACHER -  Psychometrics: 55/100, Presentation: 20/32
LEIGHA PAFFORD -  Psychometrics: 50/100, Presentation: 17/32
AMALEA TYSACK -  Psychometrics: 54/100, Presentation: 18/32
AUBERTA RUDDICK -  Psychometrics: 63/100, Presentation: 23/32
KATHLIN GIBLING -  Psychometrics: 64/100, Presentation: 24/32
PARKE COULTHURST -  Psychometrics: 61/100, Presentation: 21/32
ASHER MCCROW -  Psychometrics: 45/100, Presentation: 12/32
SCOTT DUNY -  Psychometrics: 57/100, Presentation: 17/32
"
