,name,date,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,tech_self_score.C#,tech_self_score.Java,tech_self_score.R,tech_self_score.JavaScript,tech_self_score.Python,tech_self_score.C++,tech_self_score.Ruby,tech_self_score.SPSS,tech_self_score.PHP
0,Stillmann Castano,22/08/2019,['Charisma'],"['Distracted', 'Impulsive', 'Introverted']",Yes,Yes,Yes,Pass,Business,6.0,5.0,2.0,2.0,,,,,
1,Hilary Willmore,01/08/2019,"['Patient', 'Curious', 'Problem Solving']","['Overbearing', 'Chatty', 'Indifferent']",No,Yes,Yes,Fail,Data,4.0,2.0,,,1.0,4.0,,,
2,Efrem Whipple,22/08/2019,"['Courteous', 'Independent', 'Patient']","['Introverted', 'Impulsive', 'Anxious']",Yes,Yes,Yes,Pass,Business,,,,,,4.0,4.0,,
3,Sydel Fenne,28/08/2019,['Passionate'],"['Perfectionist', 'Sensitive']",Yes,Yes,Yes,Pass,Data,,3.0,,,,,,4.0,
4,Michel Lebarree,07/08/2019,['Versatile'],"['Controlling', 'Perfectionist', 'Chatty']",Yes,Yes,Yes,Pass,Engineering,,4.0,2.0,,3.0,3.0,1.0,,2.0
5,Cooper Ingraham,14/08/2019,"['Versatile', 'Rational']",['Immature'],Yes,Yes,No,Fail,Business,3.0,1.0,,,,,,,4.0
6,Bird Le Count,22/08/2019,['Collaboration'],"['Impatient', 'Conventional', 'Undisciplined']",Yes,Yes,Yes,Fail,Business,,,,,,2.0,,3.0,3.0
7,Orly Lorens,01/08/2019,"['Ambitious', 'Independent', 'Passionate']","['Conventional', 'Passive']",No,Yes,Yes,Fail,Business,,,5.0,1.0,,,2.0,1.0,
8,Hannah Messum,29/08/2019,"['Reliable', 'Passionate']",['Intolerant'],Yes,Yes,Yes,Fail,Data,,,,2.0,8.0,,2.0,,
9,Gavin Lambregts,21/08/2019,"['Altruism', 'Empathy', 'Problem Solving']","['Chaotic', 'Selfish']",Yes,Yes,Yes,Pass,Data,2.0,,,1.0,3.0,5.0,,,
10,Letta Halston,08/08/2019,"['Listening', 'Passionate']","['Perfectionist', 'Immature', 'Passive']",Yes,Yes,Yes,Fail,Business,,,,4.0,,,,,3.0
11,Rivalee Eagleton,08/08/2019,"['Organisation', 'Passionate', 'Versatile']","['Conventional', 'Sensitive', 'Introverted']",Yes,Yes,No,Fail,Engineering,,,,2.0,3.0,,4.0,,
12,Neda Marmyon,15/08/2019,"['Curious', 'Ambitious', 'Consistent']",['Sensitive'],Yes,Yes,Yes,Pass,Data,,,7.0,,4.0,1.0,5.0,,
13,Kermy Caves,29/08/2019,"['Versatile', 'Ambitious']","['Slow', 'Overbearing', 'Conventional']",Yes,No,Yes,Fail,Business,,,,,,,,,2.0
14,Edithe Dimitrov,07/08/2019,"['Passionate', 'Versatile']",['Undisciplined'],Yes,Yes,Yes,Pass,Engineering,3.0,3.0,,,4.0,,,,
15,Aubert Cicerone,06/08/2019,"['Efficient', 'Independent']","['Indifferent', 'Sensitive', 'Introverted']",Yes,Yes,No,Fail,Data,3.0,,,3.0,4.0,,3.0,,
16,Erastus Mcelrath,14/08/2019,"['Problem Solving', 'Altruism']",['Indifferent'],Yes,No,No,Fail,Data,3.0,,,,3.0,,,2.0,1.0
17,Edgar Annesley,28/08/2019,['Independent'],"['Controlling', 'Impulsive']",No,Yes,Yes,Fail,Data,7.0,,,2.0,2.0,,4.0,,
18,Haslett Steet,07/08/2019,"['Problem Solving', 'Efficient', 'Patient']",['Undisciplined'],Yes,Yes,Yes,Pass,Engineering,,,,,,,,,
19,Kirbee Clementet,08/08/2019,['Determined'],['Anxious'],Yes,Yes,No,Fail,Engineering,,,,,,1.0,,,
20,Marcellina Ping,21/08/2019,"['Composure', 'Independent']","['Impulsive', 'Competitive', 'Controlling']",Yes,Yes,Yes,Pass,Business,4.0,5.0,,,,,,,
21,Violet Luscombe,14/08/2019,"['Competitive', 'Empathy']",['Impulsive'],Yes,Yes,Yes,Pass,Data,1.0,,,,2.0,3.0,2.0,,
22,Phillis Wabey,06/08/2019,['Problem Solving'],"['Overbearing', 'Impatient']",Yes,Yes,Yes,Pass,Data,3.0,,2.0,,1.0,,,2.0,
23,Maurice Yakhin,29/08/2019,"['Composure', 'Problem Solving', 'Efficient']","['Impatient', 'Critical']",Yes,Yes,Yes,Pass,Engineering,,,4.0,3.0,,2.0,6.0,4.0,
24,Wesley Tolerton,13/08/2019,"['Determined', 'Problem Solving', 'Patient']","['Indecisive', 'Undisciplined']",No,Yes,Yes,Fail,Business,,,,,,,,,
25,Brittaney Roughey,15/08/2019,"['Perfectionism', 'Charisma']","['Overbearing', 'Conventional', 'Immature']",Yes,Yes,Yes,Pass,Engineering,,,4.0,,,,,2.0,
26,Saree Daens,15/08/2019,['Reliable'],['Passive'],Yes,Yes,Yes,Pass,Engineering,1.0,,2.0,,,,,,
27,Mona Willimott,08/08/2019,['Passionate'],"['Passive', 'Chatty']",Yes,Yes,Yes,Pass,Engineering,1.0,3.0,1.0,2.0,,,2.0,,2.0
28,Alvie Bleackly,01/08/2019,['Perfectionism'],"['Impatient', 'Selfish', 'Indifferent']",Yes,Yes,Yes,Pass,Engineering,,,,,,,,,
29,Drud Tellenbrok,06/08/2019,"['Empathy', 'Charisma']","['Slow', 'Anxious', 'Chatty']",Yes,Yes,Yes,Pass,Data,3.0,,,,1.0,,3.0,,
30,Deck Itzchaki,01/08/2019,['Reliable'],['Indifferent'],Yes,Yes,Yes,Pass,Business,,,,,,,,,1.0
31,Charlie Danelut,14/08/2019,"['Efficient', 'Empathy', 'Independent']","['Indecisive', 'Chaotic']",Yes,No,Yes,Fail,Data,,,2.0,,3.0,,,1.0,
32,Wilt Penritt,01/08/2019,"['Collaboration', 'Curious']","['Slow', 'Sensitive']",No,Yes,Yes,Fail,Data,,,,5.0,,,,,
33,Stevie Houliston,15/08/2019,['Reliable'],['Overbearing'],Yes,Yes,Yes,Pass,Engineering,2.0,4.0,1.0,,,,,6.0,
34,Fairlie Cogzell,14/08/2019,"['Independent', 'Ambitious']","['Perfectionist', 'Introverted', 'Indecisive']",Yes,Yes,Yes,Pass,Business,,5.0,2.0,1.0,3.0,,,4.0,1.0
35,Beckie Aveling,22/08/2019,['Curious'],['Slow'],Yes,Yes,Yes,Fail,Business,4.0,6.0,,3.0,,,,1.0,
36,Axe Mckall,15/08/2019,"['Rational', 'Innovative', 'Collaboration']","['Impatient', 'Distracted']",Yes,Yes,Yes,Pass,Business,,3.0,,,2.0,,4.0,,2.0
37,Marcela Pass,27/08/2019,"['Curious', 'Passionate']",['Selfish'],Yes,No,Yes,Fail,Business,,,,,3.0,1.0,,,
38,Sauncho Aveson,13/08/2019,"['Rational', 'Innovative', 'Passionate']","['Immature', 'Competitive', 'Indifferent']",Yes,Yes,Yes,Pass,Data,,2.0,,,,,1.0,,1.0
39,Shamus Mccomish,15/08/2019,['Versatile'],"['Distracted', 'Slow']",No,Yes,Yes,Fail,Engineering,,,1.0,2.0,,2.0,6.0,,
40,Andy Lown,22/08/2019,"['Ambitious', 'Independent']","['Perfectionist', 'Procrastination']",Yes,Yes,Yes,Pass,Business,,,,,,,,,
41,Arny Coorington,14/08/2019,['Efficient'],['Competitive'],Yes,Yes,Yes,Pass,Engineering,,1.0,,,,,,,
42,Devondra Blabey,15/08/2019,"['Creative', 'Passionate', 'Reliable']",['Distracted'],No,Yes,Yes,Fail,Engineering,,,3.0,2.0,4.0,,,,2.0
43,Irita Lyptrit,07/08/2019,['Problem Solving'],['Perfectionist'],Yes,Yes,Yes,Pass,Engineering,,1.0,,,,,2.0,,
44,Jae Rennolds,29/08/2019,"['Consistent', 'Collaboration']",['Stubborn'],Yes,Yes,Yes,Pass,Data,2.0,,3.0,,,5.0,,3.0,2.0
45,Marion Consadine,15/08/2019,"['Independent', 'Passionate']",['Overbearing'],Yes,Yes,Yes,Pass,Business,,,,4.0,5.0,,,3.0,
46,Leonore Pettiford,13/08/2019,['Passionate'],"['Indifferent', 'Anxious']",Yes,Yes,Yes,Pass,Data,,,,,3.0,4.0,,,
47,Edvard Northen,07/08/2019,['Competitive'],['Controlling'],Yes,Yes,Yes,Pass,Data,,,,,,,,7.0,
48,Oralla Peasgood,07/08/2019,"['Versatile', 'Consistent', 'Passionate']","['Intolerant', 'Distracted', 'Impulsive']",Yes,No,Yes,Fail,Business,6.0,5.0,,,,,5.0,6.0,
49,Ly Ferro,13/08/2019,"['Curious', 'Perfectionism', 'Determined']","['Selfish', 'Conventional']",Yes,No,Yes,Fail,Business,,,,1.0,,,1.0,,4.0
50,Lindsey Gerwood,29/08/2019,"['Courteous', 'Ambitious', 'Versatile']","['Sensitive', 'Introverted']",Yes,Yes,Yes,Fail,Data,,1.0,4.0,,1.0,6.0,4.0,,
51,Gianna Clevely,01/08/2019,"['Independent', 'Competitive', 'Determined']","['Immature', 'Chaotic']",Yes,Yes,Yes,Pass,Business,,4.0,,,3.0,,,,
52,Celine Doree,15/08/2019,"['Reliable', 'Curious', 'Courteous']",['Impatient'],Yes,Yes,Yes,Pass,Data,8.0,4.0,,,,,,,
53,Karlene Hughill,21/08/2019,"['Courteous', 'Determined']","['Controlling', 'Intolerant', 'Conventional']",Yes,Yes,Yes,Pass,Data,2.0,,,1.0,,2.0,1.0,,
54,Sayre Webberley,14/08/2019,['Independent'],"['Perfectionist', 'Distracted']",Yes,Yes,No,Fail,Engineering,3.0,1.0,,,5.0,5.0,,,2.0
55,Phyllys Baelde,15/08/2019,"['Charisma', 'Collaboration', 'Listening']",['Indecisive'],Yes,Yes,Yes,Pass,Data,,,3.0,,1.0,,,,3.0
56,Samuele Whear,20/08/2019,"['Rational', 'Passionate']","['Stubborn', 'Impulsive']",Yes,No,Yes,Fail,Business,,2.0,,,4.0,1.0,,,
57,Darcey Mordin,27/08/2019,"['Curious', 'Empathy', 'Creative']","['Anxious', 'Slow', 'Competitive']",Yes,Yes,Yes,Pass,Business,,1.0,,,,,,1.0,
58,Pamelina Itzkovsky,13/08/2019,"['Curious', 'Perfectionism', 'Determined']","['Impatient', 'Passive', 'Intolerant']",Yes,Yes,Yes,Pass,Engineering,,2.0,,,,,5.0,,
59,Pamelina Itzkovsky,13/08/2019,"['Curious', 'Perfectionism', 'Determined']","['Impatient', 'Passive', 'Intolerant']",Yes,Yes,Yes,Pass,Engineering,,2.0,,,,,5.0,,
60,Laurel Gillogley,21/08/2019,['Ambitious'],"['Chatty', 'Distracted', 'Slow']",Yes,No,Yes,Fail,Engineering,,,,2.0,,3.0,4.0,,
61,Quinta Cowdray,28/08/2019,['Consistent'],"['Conventional', 'Intolerant']",Yes,Yes,Yes,Pass,Engineering,,,,3.0,1.0,,,2.0,
62,Cecile Lates,15/08/2019,['Perfectionism'],"['Slow', 'Impulsive']",Yes,Yes,Yes,Fail,Engineering,,,,,,4.0,,5.0,
63,Seumas Lemonby,14/08/2019,"['Altruism', 'Empathy', 'Innovative']",['Distracted'],Yes,Yes,Yes,Pass,Engineering,1.0,,,,,1.0,,,2.0
64,Gale Quartley,13/08/2019,"['Rational', 'Organisation', 'Consistent']",['Procrastination'],Yes,Yes,Yes,Pass,Data,,7.0,2.0,,,,2.0,,
65,Dorrie Srutton,22/08/2019,['Charisma'],"['Introverted', 'Sensitive']",No,Yes,Yes,Fail,Engineering,1.0,,,,,,,,
66,Benny Tichelaar,21/08/2019,['Problem Solving'],"['Impulsive', 'Stubborn']",No,No,Yes,Fail,Data,,1.0,,4.0,,,,1.0,
67,Avrit Gawith,15/08/2019,['Versatile'],"['Introverted', 'Chaotic']",Yes,Yes,Yes,Pass,Business,2.0,,,3.0,,,,4.0,
68,Berti Dennehy,22/08/2019,['Consistent'],"['Stubborn', 'Anxious', 'Competitive']",Yes,Yes,Yes,Fail,Data,,,,,,8.0,,2.0,5.0
69,Rockey Robarts,14/08/2019,"['Composure', 'Charisma', 'Rational']","['Indifferent', 'Sensitive']",Yes,Yes,Yes,Pass,Engineering,,3.0,,,6.0,,,,
70,Eloisa Ewert,21/08/2019,['Efficient'],"['Anxious', 'Chatty']",Yes,Yes,No,Fail,Business,2.0,,,,,,2.0,,1.0
71,Mireille Risom,21/08/2019,"['Passionate', 'Reliable', 'Altruism']","['Chatty', 'Critical', 'Passive']",Yes,Yes,Yes,Pass,Data,,,,,,,,3.0,2.0
72,Sharl Daggett,22/08/2019,"['Efficient', 'Perfectionism']",['Controlling'],Yes,Yes,Yes,Pass,Engineering,,,1.0,3.0,,,1.0,1.0,
73,Nikolos Yashin,15/08/2019,"['Empathy', 'Curious']","['Chaotic', 'Stubborn']",Yes,Yes,Yes,Fail,Business,,2.0,5.0,3.0,,2.0,,,
74,Shela Mccall,14/08/2019,"['Courteous', 'Curious', 'Organisation']","['Stubborn', 'Procrastination']",Yes,Yes,Yes,Fail,Engineering,,,,,,1.0,,3.0,1.0
75,Sonnie Malenfant,14/08/2019,"['Organisation', 'Courteous']",['Perfectionist'],Yes,Yes,Yes,Pass,Business,,,,,4.0,6.0,2.0,3.0,
76,Mahmud Molineux,20/08/2019,"['Rational', 'Charisma']","['Chatty', 'Distracted', 'Sensitive']",Yes,Yes,Yes,Pass,Business,,,,1.0,7.0,2.0,7.0,,
77,Dylan Llewellen,29/08/2019,"['Perfectionism', 'Ambitious']","['Undisciplined', 'Intolerant', 'Perfectionist']",Yes,Yes,No,Fail,Data,1.0,,5.0,,2.0,,,1.0,
78,Yvor Phalip,01/08/2019,"['Charisma', 'Creative', 'Curious']","['Intolerant', 'Procrastination', 'Immature']",Yes,Yes,No,Fail,Data,2.0,3.0,1.0,,,,7.0,,
79,Berry Freed,29/08/2019,"['Competitive', 'Versatile']",['Immature'],Yes,Yes,Yes,Pass,Business,,,,,,,,,3.0
80,Marielle Knivett,01/08/2019,['Critical Thinking'],"['Overbearing', 'Indecisive']",Yes,No,Yes,Fail,Business,5.0,,5.0,,,,4.0,7.0,1.0
81,Emmanuel Deniske,15/08/2019,"['Passionate', 'Altruism', 'Courteous']","['Overbearing', 'Procrastination']",Yes,Yes,Yes,Pass,Data,,3.0,,,1.0,1.0,,,
82,Kerr Coucha,07/08/2019,['Curious'],"['Controlling', 'Sensitive', 'Distracted']",Yes,Yes,Yes,Pass,Data,1.0,,2.0,,7.0,6.0,,3.0,
83,Dulci Mcgrayle,21/08/2019,"['Versatile', 'Creative']","['Chatty', 'Sensitive']",Yes,Yes,Yes,Pass,Data,,2.0,3.0,6.0,,,,,1.0
84,Shandee Blaschke,21/08/2019,['Critical Thinking'],['Stubborn'],No,Yes,Yes,Fail,Engineering,3.0,,,,3.0,1.0,4.0,,
85,Paul Chislett,14/08/2019,"['Composure', 'Organisation']","['Procrastination', 'Impatient', 'Conventional']",Yes,Yes,No,Fail,Engineering,,4.0,,,,,,,
86,Florri Loughton,01/08/2019,['Ambitious'],"['Indifferent', 'Critical', 'Conventional']",No,Yes,Yes,Fail,Engineering,1.0,,,,,,,,
87,Hildy Landre,08/08/2019,"['Perfectionism', 'Courteous']",['Indifferent'],No,Yes,Yes,Fail,Data,3.0,,1.0,3.0,,,,,
88,Berny Botler,06/08/2019,"['Altruism', 'Collaboration']",['Impulsive'],Yes,Yes,Yes,Pass,Data,,6.0,,,4.0,,2.0,3.0,4.0
89,Merell Tremmil,13/08/2019,"['Perfectionism', 'Collaboration', 'Patient']",['Indifferent'],Yes,Yes,Yes,Fail,Engineering,,,,,,6.0,,4.0,
90,Ileana Chewter,21/08/2019,"['Passionate', 'Versatile']",['Competitive'],Yes,Yes,Yes,Pass,Business,,2.0,,2.0,4.0,6.0,5.0,,
91,Ilario Yeates,13/08/2019,['Listening'],['Procrastination'],No,Yes,Yes,Fail,Engineering,1.0,,3.0,,4.0,,,,
92,Winnie Lewerenz,06/08/2019,['Patient'],['Indecisive'],Yes,No,Yes,Fail,Business,4.0,,2.0,2.0,,,,,
93,Garwood Strowan,20/08/2019,"['Consistent', 'Creative']","['Chatty', 'Impulsive']",No,Yes,Yes,Fail,Data,,3.0,,2.0,,3.0,,,
94,Herb Mcilmorie,08/08/2019,['Determined'],"['Sensitive', 'Passive']",Yes,Yes,Yes,Pass,Data,,3.0,2.0,,,1.0,2.0,4.0,7.0
95,Ingunna Adin,01/08/2019,"['Charisma', 'Altruism', 'Perfectionism']","['Competitive', 'Indifferent', 'Chaotic']",Yes,Yes,Yes,Pass,Data,,6.0,4.0,3.0,,3.0,,,
96,Frazier Bayston,29/08/2019,['Altruism'],['Impulsive'],Yes,No,Yes,Fail,Data,2.0,,,5.0,,1.0,4.0,3.0,
97,Hewett Lamputt,13/08/2019,"['Rational', 'Determined', 'Organisation']","['Slow', 'Controlling', 'Anxious']",Yes,Yes,Yes,Pass,Engineering,1.0,,6.0,3.0,,5.0,2.0,,1.0
98,Rodger Bendelow,22/08/2019,"['Courteous', 'Rational']","['Selfish', 'Impatient']",Yes,Yes,Yes,Pass,Data,,,,,6.0,,,3.0,
99,Archer Hobben,14/08/2019,"['Independent', 'Problem Solving']","['Critical', 'Indecisive']",Yes,Yes,Yes,Fail,Business,,,,,2.0,,4.0,,
100,Stephani Prettyman,22/08/2019,"['Listening', 'Independent', 'Organisation']",['Selfish'],Yes,Yes,Yes,Pass,Engineering,,1.0,,1.0,1.0,4.0,,2.0,
101,Pepi Bome,20/08/2019,"['Competitive', 'Charisma']","['Slow', 'Indifferent', 'Selfish']",Yes,Yes,Yes,Pass,Engineering,1.0,,,2.0,,,5.0,2.0,1.0
102,Loella Lonnon,06/08/2019,['Empathy'],"['Introverted', 'Conventional', 'Undisciplined']",Yes,Yes,No,Fail,Data,,,,,,6.0,,,
103,Darrin Stoffel,08/08/2019,['Altruism'],"['Conventional', 'Introverted']",Yes,Yes,Yes,Pass,Business,,,,,,,,3.0,2.0
104,Mitchel Bates,14/08/2019,['Problem Solving'],['Stubborn'],Yes,Yes,No,Fail,Engineering,2.0,3.0,,3.0,2.0,,,2.0,
105,Miles Water,08/08/2019,"['Charisma', 'Passionate', 'Creative']","['Slow', 'Intolerant', 'Sensitive']",Yes,Yes,Yes,Pass,Business,2.0,2.0,,4.0,,,,,2.0
106,Fanni Polhill,28/08/2019,"['Perfectionism', 'Efficient', 'Listening']","['Indecisive', 'Indifferent', 'Undisciplined']",Yes,Yes,Yes,Fail,Engineering,3.0,,,,2.0,,,6.0,
107,Genvieve Arnke,22/08/2019,"['Reliable', 'Patient', 'Rational']","['Selfish', 'Chatty']",No,Yes,Yes,Fail,Business,,,,,,,3.0,,2.0
108,Alicia Hruska,28/08/2019,"['Altruism', 'Competitive', 'Charisma']",['Indifferent'],Yes,Yes,Yes,Pass,Business,3.0,4.0,4.0,,,,,,
109,Mella Aubin,15/08/2019,['Listening'],['Introverted'],Yes,Yes,Yes,Pass,Data,,,3.0,,,,6.0,4.0,
110,George Huckstepp,06/08/2019,"['Perfectionism', 'Listening', 'Ambitious']","['Anxious', 'Indifferent']",No,Yes,Yes,Fail,Engineering,1.0,2.0,2.0,,,,,,
111,Joelie Elfitt,29/08/2019,['Problem Solving'],['Chatty'],Yes,Yes,No,Fail,Business,4.0,,,,1.0,,,,
112,Omar Rodrigo,27/08/2019,"['Composure', 'Versatile']","['Impatient', 'Slow', 'Critical']",Yes,No,Yes,Fail,Engineering,,,,1.0,,,3.0,,
113,Cal Loache,15/08/2019,"['Ambitious', 'Reliable', 'Determined']","['Sensitive', 'Indifferent']",Yes,Yes,Yes,Fail,Business,3.0,,7.0,1.0,3.0,,2.0,1.0,2.0
114,Tully Mcdoual,07/08/2019,['Rational'],"['Stubborn', 'Indifferent']",Yes,Yes,Yes,Pass,Engineering,,,1.0,,4.0,,3.0,,
115,Molli Brayfield,22/08/2019,['Listening'],"['Perfectionist', 'Conventional']",Yes,Yes,Yes,Pass,Data,,4.0,3.0,,,,,3.0,3.0
116,Janaya Mawford,01/08/2019,"['Problem Solving', 'Efficient']","['Stubborn', 'Indecisive', 'Undisciplined']",Yes,Yes,Yes,Pass,Data,,,1.0,,7.0,,,,
117,Lazarus Hooke,29/08/2019,"['Independent', 'Perfectionism']",['Immature'],No,Yes,Yes,Fail,Data,,1.0,1.0,,,,,,
118,Sidney Le Batteur,08/08/2019,['Listening'],"['Intolerant', 'Conventional', 'Undisciplined']",Yes,Yes,Yes,Pass,Data,,,,1.0,,,,,
119,Maryellen Vasovic,20/08/2019,"['Problem Solving', 'Altruism', 'Patient']","['Indecisive', 'Procrastination', 'Undisciplined']",Yes,Yes,Yes,Pass,Data,,3.0,,4.0,,,4.0,,1.0
120,Winona Rubinowitz,29/08/2019,['Courteous'],['Controlling'],Yes,Yes,Yes,Pass,Engineering,1.0,,,3.0,,,3.0,,
121,Dur Plom,14/08/2019,"['Consistent', 'Innovative']","['Indifferent', 'Indecisive', 'Controlling']",Yes,Yes,Yes,Fail,Engineering,1.0,,4.0,,,3.0,2.0,4.0,1.0
122,Gisela Aisbett,15/08/2019,"['Efficient', 'Critical Thinking', 'Creative']","['Chaotic', 'Conventional']",Yes,Yes,Yes,Pass,Engineering,,1.0,,1.0,,,,3.0,
123,Appolonia Jovis,29/08/2019,"['Passionate', 'Composure', 'Determined']",['Anxious'],Yes,No,No,Fail,Business,,7.0,5.0,,,4.0,,7.0,1.0
124,Diandra Dyhouse,27/08/2019,"['Collaboration', 'Determined', 'Consistent']","['Slow', 'Conventional']",Yes,Yes,Yes,Pass,Business,,3.0,,,6.0,3.0,,,
125,Cornall Offer,01/08/2019,['Creative'],"['Distracted', 'Overbearing']",Yes,No,Yes,Fail,Data,,1.0,,,,4.0,,,
126,Dominique Narbett,20/08/2019,"['Competitive', 'Critical Thinking', 'Courteous']","['Immature', 'Chatty', 'Critical']",Yes,Yes,Yes,Pass,Business,,,6.0,,,,4.0,6.0,
127,Gusti Horrod,27/08/2019,"['Empathy', 'Courteous']",['Indifferent'],Yes,Yes,Yes,Pass,Data,,3.0,3.0,,,,,,1.0
128,Brnaby Bownes,01/08/2019,"['Efficient', 'Passionate']",['Introverted'],Yes,Yes,Yes,Pass,Engineering,5.0,5.0,,,4.0,2.0,4.0,3.0,
129,Berky Bailey,28/08/2019,"['Competitive', 'Empathy']","['Distracted', 'Passive', 'Stubborn']",Yes,Yes,Yes,Pass,Business,5.0,,,5.0,2.0,,,,
130,Harriett Saffin,28/08/2019,"['Innovative', 'Consistent', 'Collaboration']",['Impulsive'],Yes,Yes,Yes,Pass,Business,2.0,,1.0,,1.0,,4.0,,
131,Pooh Christy,28/08/2019,"['Curious', 'Perfectionism', 'Critical Thinking']",['Perfectionist'],Yes,Yes,Yes,Pass,Data,2.0,2.0,,,5.0,1.0,,,
